outer_j,agent,model,M,objective_primary,lex_used,phi_terminal,ri_terminal,r_term0,r_term1,diam_C,t_primary_ms,t_lex_ms,t_total_ms,n_var_primary,n_eq_primary,n_ineq_primary,n_var_lex,n_eq_lex,n_ineq_lex,nominal_fallback_used,nominal_status,bary_r0,bary_r1
10,2,single_integrator,7,16.482018651458624,0,1.1967641245462899,1,0.8133745954866003,-2.586961520606023,2.3943833003748605,39.28862100292463,0.0,39.28862100292463,16,3,63,0,0,0,1,nan,0.8130884482664084,-2.5872791649758686
10,3,single_integrator,7,0.17373265764891835,0,0.011712777058225265,1,-1.260667678277761,-2.7128617377304924,3.869927777158892,35.510708003130276,0.0,35.510708003130276,17,3,64,0,0,0,1,nan,-1.2606261621281678,-2.7128378808987166
10,4,single_integrator,7,22.78876272195287,0,0.3670317157604789,1,-0.9113325028772159,-4.18963108951413,2.7115687255175236,37.00786599802086,0.0,37.00786599802086,17,3,64,0,0,0,1,nan,-0.9108557548389237,-4.1897906294235465
11,1,single_integrator,7,5.173416245238237,0,0.30872246534124076,1,0.44375454346508336,-3.0994157211365123,3.8608067224017293,35.18960800283821,0.0,35.18960800283821,17,3,64,0,0,0,1,nan,0.44384041070879215,-3.0991920231512418
11,2,single_integrator,7,25.575506499044945,0,0.2918154298574521,1,0.1538591867413383,-2.154803448482642,2.502384364486905,28.376580004987773,0.0,28.376580004987773,17,3,64,0,0,0,1,nan,0.15333920309689253,-2.1549186427097506
11,3,single_integrator,7,0.1765902411467932,0,0.03887454797471346,1,-1.2533870250577108,-2.7490265789694144,3.8608067224017293,27.34438399784267,0.0,27.34438399784267,17,3,64,0,0,0,1,nan,-1.2533509299208776,-2.7490716503714907
11,4,single_integrator,7,14.931954386093189,0,0.34032665297462983,1,-1.1331482616607143,-3.9692809394543143,1.793163378536182,29.925912000180688,0.0,29.925912000180688,17,3,64,0,0,0,1,nan,-1.1327496025153743,-3.969362742656092
12,1,single_integrator,7,51.18675780413722,0,0.886041378266689,1,-0.03097955301978995,-4.2305935446866965,4.480977157940298,30.31963099783752,0.0,30.31963099783752,17,3,64,0,0,0,1,nan,-0.030491911635777247,-4.230019049368439
12,2,single_integrator,7,51.52446284491083,0,0.6709318613077582,1,-0.316016455405238,-3.306672745954724,4.480977157940298,34.997605995158665,0.0,34.997605995158665,17,3,64,0,0,0,1,nan,-0.31676777484412594,-3.3067561562028542
12,3,single_integrator,7,2.4143885775972658,0,0.19024780459576762,1,-1.19087035045771,-3.209315514969882,4.174674686956432,32.997608999721706,0.0,32.997608999721706,17,3,64,0,0,0,1,nan,-1.1908165472134868,-3.2094699921063956
12,4,single_integrator,7,14.172631825124125,0,0.4937371459752337,1,-1.6627543483851073,-4.720181763705484,3.5629424532395335,31.852068001171574,0.0,31.852068001171574,17,3,64,0,0,0,1,nan,-1.662544383108219,-4.720517988717001
